Experiment,l_c,r_c,l_n,r_n,V,w
57,0.0511318161232496,0.001,0.0337424814525528,0.001,2.6664046974273505e-07,6021.580116324638
84,0.0449986183590021,0.0047348191079864,0.07072437263441,0.001,3.3914323258459336e-06,1161.8813097186387
74,0.029575854119816,0.0077785893181659,0.08,0.001,5.873301685935618e-06,818.5276922185614
116,0.0596120433657238,0.0079202930262577,0.078,0.001,1.1993110296708783e-05,567.023401222847
83,0.0365595521757126,0.0146411042181967,0.055138690978486,0.001,2.479381036403365e-05,465.3845157903508
51,0.0345487001378043,0.0163066677685351,0.0787610718877857,0.001,2.9108478796479254e-05,356.10531333138863
124,0.039,0.0169999999999999,0.075,0.001,3.5644510247629785e-05,328.6727668357667
111,0.043,0.0169999999999999,0.077,0.001,3.928247454048677e-05,308.25734274718616
147,0.039,0.018,0.077,0.001,3.993906740508704e-05,305.7071519138688
103,0.037,0.019,0.079,0.001,4.221043889363246e-05,293.2354935142048
122,0.041,0.019,0.08,0.001,4.675004027806971e-05,276.3158060579742
135,0.038,0.02,0.08,0.001,4.8003535746852034e-05,272.62385467226244
141,0.0490740049283462,0.0176915162376663,0.08,0.001,4.850512361234793e-05,270.98721602245354
109,0.04,0.02,0.08,0.001,5.051680986972388e-05,265.51833371380025
99,0.039,0.021,0.077,0.001,5.427415468341728e-05,260.98031470294177
118,0.039,0.021,0.08,0.001,5.428357946137804e-05,255.88753717139784
100,0.043,0.02,0.08,0.001,5.428672105403163e-05,255.82014661903017
108,0.041,0.021,0.08,0.001,5.705446418184424e-05,249.39297539645597
142,0.038,0.022,0.079,0.001,5.802835790445708e-05,248.8765961493444
123,0.038,0.022,0.08,0.001,5.8031499497110666e-05,247.26968039634397
136,0.043,0.021,0.079,0.001,5.982220730965686e-05,244.94539195645848
125,0.04,0.022,0.08,0.001,6.107256118578559e-05,240.8409977297381
117,0.039,0.023,0.077,0.001,6.505610067053745e-05,237.78158501225155
132,0.0663771726669126,0.0196243270668941,0.079,0.001,8.05560672614159e-05,210.08540674669536
71,0.0498961219539708,0.0230322901806344,0.08,0.001,8.340681458815755e-05,205.2206245656884
134,0.0342829887403261,0.0299961875928806,0.08,0.001,9.715955948694624e-05,189.99337634572584
126,0.0738673456631095,0.021595127857483,0.08,0.001,0.0001084729212008,179.32760110523898
13,0.0440830241047644,0.030497022323194,0.0683075007456273,0.001,0.0001290206043944,178.14882925574204
144,0.0763082189798225,0.0357195968029073,0.0650046163877496,0.001,0.0003060723889286,117.87721575579924
